"","soc_code","soc_lmi_title","employment","projected_2030","change_employment","percent_change","annual_openings_growth","exits","transfers","total_openings","median_wage","median_wage_symbol","jobsohioregion"
"1952","29-1051","Pharmacists","1604",1513,-91,-0.0567,-9,29,30,50,"60.92",NA,"Northwest"
"1953","29-1071","Physician Assistants","278",351,73,0.2626,7,5,12,24,"58.21",NA,"Northwest"
"1954","29-1122","Occupational Therapists","610",645,35,0.0574,4,14,20,38,"37.61",NA,"Northwest"
"1955","29-1123","Physical Therapists","799",872,73,0.0914,7,16,17,40,"45.97",NA,"Northwest"
"1956","29-1126","Respiratory Therapists","665",755,90,0.1353,9,15,18,42,"28.52",NA,"Northwest"
"1957","29-1127","Speech-Language Pathologists","677",783,106,0.1566,11,17,26,54,"36.29",NA,"Northwest"
"1958","29-1131","Veterinarians","250",221,-29,-0.116,-3,4,4,5,"46.68",NA,"Northwest"
"1959","29-1141","Registered Nurses","13307",13440,133,0.01,13,357,336,706,"30",NA,"Northwest"
"1960","29-1171","Nurse Practitioners","1011",1539,528,0.5223,53,27,40,120,"49.01",NA,"Northwest"
"1961","29-1215","Family Medicine Physicians","343",341,-2,-0.0058,0,6,4,10,"79.760000000000005",NA,"Northwest"
"1962","29-1216","General Internal Medicine Physicians","162",146,-16,-0.0988,-2,2,2,2,"#",NA,"Northwest"
"1963","29-1228","Physicians, All Other; and Ophthalmologists, Except Pediatric","1392",1400,8,0.0057,1,22,16,39,"37.450000000000003","^^^","Northwest"
"1964","29-1248","Surgeons, Except Ophthalmologists","153",137,-16,-0.1046,-2,2,2,2,"# ^^^",NA,"Northwest"
"1965","29-1292","Dental Hygienists","931",986,55,0.0591,6,34,24,64,"30.2",NA,"Northwest"
"1966","29-2010","Clinical Laboratory Technologists and Technicians","1457",1435,-22,-0.0151,-2,37,54,89,"28.52",NA,"Northwest"
"1967","29-2031","Cardiovascular Technologists and Technicians","277",279,2,0.0072,0,8,12,20,"28.9",NA,"Northwest"
"1968","29-2032","Diagnostic Medical Sonographers","379",410,31,0.0818,3,11,17,31,"30",NA,"Northwest"
"1969","29-2033","Nuclear Medicine Technologists","136",136,0,0,0,4,6,10,"36.08",NA,"Northwest"
"1970","29-2034","Radiologic Technologists","946",933,-13,-0.0137,-1,26,40,65,"28.52",NA,"Northwest"
"1971","29-2035","Magnetic Resonance Imaging Technologists","169",161,-8,-0.0473,-1,4,7,10,"34.97",NA,"Northwest"
"1972","29-2040","Emergency Medical Technicians and Paramedics","839",802,-37,-0.0441,-4,15,38,49,"17.760000000000002","^","Northwest"
"1973","29-2052","Pharmacy Technicians","2050",2061,11,0.0054,1,56,88,145,"14.14",NA,"Northwest"
"1974","29-2055","Surgical Technologists","432",435,3,0.0069,0,12,19,31,"22.45",NA,"Northwest"
"1975","29-2056","Veterinary Technologists and Technicians","264",228,-36,-0.1364,-4,7,11,14,"17.48",NA,"Northwest"
"1976","29-2061","Licensed Practical and Licensed Vocational Nurses","4008",4109,101,0.0252,10,137,169,316,"22.47",NA,"Northwest"
"1977","29-2081","Opticians, Dispensing","320",311,-9,-0.0281,-1,13,11,23,"21.95",NA,"Northwest"
"1978","29-2098","Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other","1474",1507,33,0.0224,3,41,64,108,"22.55","^^^","Northwest"
"1979","29-9098","Health Information Technologists, Medical Registrars, Surgical Assistants, & Healthcare Practitioners, AO","228",231,3,0.0132,0,6,10,16,"26.19","^^^","Northwest"
"1980","31-0000","Healthcare Support Occupations","23878",26088,2210,0.0926,221,1441,1556,3218,"14.03",NA,"Northwest"
"1981","31-1120","Home Health and Personal Care Aides","9057",10598,1541,0.1701,154,629,556,1339,"11.49",NA,"Northwest"
"1982","31-1131","Nursing Assistants","6813",6738,-75,-0.011,-8,434,384,810,"14.08",NA,"Northwest"
"1983","31-1132","Orderlies","178",183,5,0.0281,0,12,10,22,"14.28",NA,"Northwest"
"1984","31-2011","Occupational Therapy Assistants","404",516,112,0.2772,11,23,34,68,"29.22",NA,"Northwest"
"1985","31-2021","Physical Therapist Assistants","900",1092,192,0.2133,19,43,75,137,"29.28",NA,"Northwest"
"1986","31-9011","Massage Therapists","330",373,43,0.1303,4,21,18,43,"21.83",NA,"Northwest"
"1987","31-9091","Dental Assistants","868",918,50,0.0576,5,41,63,109,"17.97",NA,"Northwest"
"1988","31-9092","Medical Assistants","3400",3777,377,0.1109,38,147,268,453,"16.91",NA,"Northwest"
"1989","31-9093","Medical Equipment Preparers","283",285,2,0.0071,0,16,19,35,"17.48",NA,"Northwest"
"1990","31-9094","Medical Transcriptionists","105",78,-27,-0.2571,-3,5,8,10,"14.26",NA,"Northwest"
"1991","31-9096","Veterinary Assistants and Laboratory Animal Caretakers","306",267,-39,-0.1275,-4,14,32,42,"13.86",NA,"Northwest"
"1992","31-9097","Phlebotomists","860",894,34,0.0395,3,38,64,105,"17.38",NA,"Northwest"
"1993","31-9099","Healthcare Support Workers, All Other","163",161,-2,-0.0123,0,9,11,20,"14.42",NA,"Northwest"
"1994","33-0000","Protective Service Occupations","9980",10011,31,0.0031,3,456,621,1080,"22.75",NA,"Northwest"
"1995","33-1012","First-Line Supervisors of Police and Detectives","254",259,5,0.0197,0,6,10,16,"37.56",NA,"Northwest"
"1996","33-1021","First-Line Supervisors of Fire Fighting and Prevention Workers","261",268,7,0.0268,1,6,11,18,"37.159999999999997",NA,"Northwest"
"1997","33-1090","Miscellaneous First-Line Supervisors, Protective Service Workers","143",137,-6,-0.042,-1,5,8,12,"25.23","^","Northwest"
"1998","33-2011","Firefighters","1459",1508,49,0.0336,5,33,77,115,"22.4",NA,"Northwest"
"1999","33-3011","Bailiffs","155",151,-4,-0.0258,0,6,8,14,"22.58",NA,"Northwest"
"2000","33-3012","Correctional Officers and Jailers","1284",1142,-142,-0.1106,-14,46,66,98,"23.04",NA,"Northwest"
"2001","33-3021","Detectives and Criminal Investigators","255",261,6,0.0235,1,7,12,20,"37.659999999999997",NA,"Northwest"
"2002","33-3051","Police and Sheriff's Patrol Officers","2671",2711,40,0.015,4,67,137,208,"29.17",NA,"Northwest"
"2003","33-9032","Security Guards","2077",2012,-65,-0.0313,-6,108,158,260,"13.9",NA,"Northwest"
"2004","33-9092","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","398",482,84,0.2111,8,61,49,118,"10.52",NA,"Northwest"
"2005","33-9098","School Bus Monitors and Protective Service Workers, All Other","503",535,32,0.0636,3,72,58,133,"15.11","^^^","Northwest"
"2006","35-0000","Food Preparation and Serving Related Occupations","47759",52965,5206,0.109,521,3899,5145,9565,"10.76",NA,"Northwest"
"2007","35-1011","Chefs and Head Cooks","188",205,17,0.0904,2,6,19,27,"22.42",NA,"Northwest"
"2008","35-1012","First-Line Supervisors of Food Preparation and Serving Workers","4331",4933,602,0.139,60,207,472,739,"14.67",NA,"Northwest"
"2009","35-2011","Cooks, Fast Food","967",878,-89,-0.092,-9,54,79,124,"10.52",NA,"Northwest"
"2010","35-2012","Cooks, Institution and Cafeteria","2612",2667,55,0.0211,6,155,226,387,"13.99",NA,"Northwest"
"2011","35-2014","Cooks, Restaurant","3525",4899,1374,0.3898,137,248,360,745,"13.63",NA,"Northwest"
"2012","35-2021","Food Preparation Workers","3258",3343,85,0.0261,8,259,304,571,"11.45",NA,"Northwest"
"2013","35-3011","Bartenders","2881",3516,635,0.2204,64,145,388,597,"10.130000000000001",NA,"Northwest"
"2014","35-3023","Fast Food and Counter Workers","18750",20076,1326,0.0707,133,1882,2052,4067,"10.54",NA,"Northwest"
"2015","35-3031","Waiters and Waitresses","6023",6689,666,0.1106,67,467,759,1293,"9.77",NA,"Northwest"
"2016","35-3041","Food Servers, Nonrestaurant","1434",1407,-27,-0.0188,-3,112,111,220,"11.65",NA,"Northwest"
"2017","35-9011","Dining Room and Cafeteria Attendants and Bartender Helpers","1228",1482,254,0.2068,25,117,117,259,"10.91",NA,"Northwest"
"2018","35-9021","Dishwashers","1163",1275,112,0.0963,11,92,102,205,"10.55",NA,"Northwest"
"2019","37-0000","Building and Grounds Cleaning and Maintenance Occupations","17236",17291,55,0.0032,6,991,1259,2256,"13.96",NA,"Northwest"
"2020","37-1011","First-Line Supervisors of Housekeeping and Janitorial Workers","641",622,-19,-0.0296,-2,27,44,69,"18.7",NA,"Northwest"
"2021","37-2011","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","8543",8564,21,0.0025,2,534,600,1136,"13.91",NA,"Northwest"
"2022","37-2012","Maids and Housekeeping Cleaners","3513",3507,-6,-0.0017,-1,238,226,463,"11.49",NA,"Northwest"
"2023","37-3011","Landscaping and Groundskeeping Workers","3936",3997,61,0.0155,6,171,340,517,"14.32",NA,"Northwest"
"2024","37-3012","Pesticide Handlers, Sprayers, and Applicators, Vegetation","152",153,1,0.0066,0,7,13,20,"18.760000000000002",NA,"Northwest"
"2025","39-0000","Personal Care and Service Occupations","10638",11424,786,0.0739,79,695,863,1637,"11.27",NA,"Northwest"
"2026","39-2021","Nonfarm Animal Caretakers","879",1104,225,0.256,22,64,82,168,"10.94",NA,"Northwest"
"2027","39-3031","Ushers, Lobby Attendants, and Ticket Takers","178",246,68,0.382,7,27,22,56,"10.53",NA,"Northwest"
"2028","39-3091","Amusement and Recreation Attendants","914",1053,139,0.1521,14,96,110,220,"10.07",NA,"Northwest"
"2029","39-4021","Funeral Attendants","349",347,-2,-0.0057,0,20,26,46,"13.93",NA,"Northwest"
"2030","39-5012","Hairdressers, Hairstylists, and Cosmetologists","1819",1769,-50,-0.0275,-5,95,100,190,"11.25",NA,"Northwest"
"2031","39-5094","Skincare Specialists","143",151,8,0.0559,1,8,8,17,"17.48",NA,"Northwest"
"2032","39-7010","Tour and Travel Guides","102",126,24,0.2353,2,7,11,20,"11.49",NA,"Northwest"
"2033","39-9011","Childcare Workers","2677",2677,0,0,0,180,187,367,"10.66",NA,"Northwest"
"2034","39-9031","Fitness Trainers and Aerobics Instructors","945",1161,216,0.2286,22,62,100,184,"13.97",NA,"Northwest"
"2035","39-9032","Recreation Workers","863",888,25,0.029,2,51,83,136,"13.3",NA,"Northwest"
"2036","41-0000","Sales and Related Occupations","46339",44278,-2061,-0.0445,-206,2377,3603,5774,"13.79",NA,"Northwest"
"2037","41-1011","First-Line Supervisors of Retail Sales Workers","4832",4483,-349,-0.0722,-35,165,323,453,"18.100000000000001",NA,"Northwest"
"2038","41-1012","First-Line Supervisors of Non-Retail Sales Workers","838",752,-86,-0.1026,-9,23,47,61,"35.869999999999997",NA,"Northwest"
"2039","41-2011","Cashiers","11906",10449,-1457,-0.1224,-146,951,1070,1875,"10.84",NA,"Northwest"
"2040","41-2022","Parts Salespersons","1228",1283,55,0.0448,6,53,96,155,"14.41",NA,"Northwest"
"2041","41-2031","Retail Salespersons","12479",12228,-251,-0.0201,-25,691,1020,1686,"13.22",NA,"Northwest"
"2042","41-3011","Advertising Sales Agents","328",313,-15,-0.0457,-2,10,30,38,"18.46",NA,"Northwest"
"2043","41-3021","Insurance Sales Agents","1972",2022,50,0.0254,5,66,112,183,"23.11",NA,"Northwest"
"2044","41-3031","Securities, Commodities, and Financial Services Sales Agents","1571",1377,-194,-0.1235,-19,33,93,107,"27.45",NA,"Northwest"
"2045","41-3091","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","1884",2049,165,0.0876,16,49,173,238,"23.75",NA,"Northwest"
"2046","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","411",427,16,0.0389,2,12,28,42,"45.7",NA,"Northwest"
"2047","41-4012","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","5416",5544,128,0.0236,13,162,370,545,"28.63",NA,"Northwest"
"2048","41-9011","Demonstrators and Product Promoters","107",113,6,0.0561,1,12,7,20,"14.58","†","Northwest"
"2049","41-9022","Real Estate Sales Agents","617",633,16,0.0259,2,26,28,56,"18.079999999999998",NA,"Northwest"
"2050","43-0000","Office and Administrative Support Occupations","64641",59966,-4675,-0.0723,-468,2974,3782,6288,"17.739999999999998",NA,"Northwest"
"2051","43-1011","First-Line Supervisors of Office and Administrative Support Workers","4261",3926,-335,-0.0786,-34,152,250,368,"27.42",NA,"Northwest"
"2052","43-3011","Bill and Account Collectors","970",879,-91,-0.0938,-9,34,66,91,"17.45",NA,"Northwest"
"2053","43-3021","Billing and Posting Clerks","1893",1897,4,0.0021,0,78,116,194,"17.75",NA,"Northwest"
"2054","43-3031","Bookkeeping, Accounting, and Auditing Clerks","6004",5677,-327,-0.0545,-33,342,298,607,"18.27",NA,"Northwest"
"2055","43-3051","Payroll and Timekeeping Clerks","336",286,-50,-0.1488,-5,15,17,27,"21.92",NA,"Northwest"
"2056","43-3061","Procurement Clerks","272",258,-14,-0.0515,-1,7,17,23,"18.27",NA,"Northwest"
"2057","43-3071","Tellers","2288",1533,-755,-0.33,-76,78,120,122,"14.26",NA,"Northwest"
"2058","43-4031","Court, Municipal, and License Clerks","1116",1165,49,0.0439,5,56,57,118,"17.760000000000002",NA,"Northwest"
"2059","43-4051","Customer Service Representatives","6973",6507,-466,-0.0668,-47,317,530,800,"17.399999999999999",NA,"Northwest"
"2060","43-4061","Eligibility Interviewers, Government Programs","341",347,6,0.0176,1,13,18,32,"18.12",NA,"Northwest"
"2061","43-4071","File Clerks","272",228,-44,-0.1618,-4,14,15,25,"17.579999999999998",NA,"Northwest"
"2062","43-4081","Hotel, Motel, and Resort Desk Clerks","444",507,63,0.1419,6,28,50,84,"11",NA,"Northwest"
"2063","43-4111","Interviewers, Except Eligibility and Loan","853",658,-195,-0.2286,-20,44,49,73,"17.28",NA,"Northwest"
"2064","43-4121","Library Assistants, Clerical","513",475,-38,-0.0741,-4,44,32,72,"11.52",NA,"Northwest"
"2065","43-4131","Loan Interviewers and Clerks","592",500,-92,-0.1554,-9,16,32,39,"17.989999999999998",NA,"Northwest"
"2066","43-4151","Order Clerks","510",414,-96,-0.1882,-10,20,29,39,"17.739999999999998",NA,"Northwest"
"2067","43-4161","Human Resources Assistants, Except Payroll and Timekeeping","376",351,-25,-0.0665,-2,14,22,34,"18.3",NA,"Northwest"
"2068","43-4171","Receptionists and Information Clerks","2888",2806,-82,-0.0284,-8,159,197,348,"13.82",NA,"Northwest"
"2069","43-4199","Information and Record Clerks, All Other","173",175,2,0.0116,0,7,12,19,"17.28",NA,"Northwest"
"2070","43-5011","Cargo and Freight Agents","123",125,2,0.0163,0,5,7,12,"20.55",NA,"Northwest"
"2071","43-5021","Couriers and Messengers","755",629,-126,-0.1669,-13,28,38,53,"13.99",NA,"Northwest"
"2072","43-5031","Police, Fire, and Ambulance Dispatchers","487",492,5,0.0103,0,17,27,44,"22.58",NA,"Northwest"
"2073","43-5032","Dispatchers, Except Police, Fire, and Ambulance","713",697,-16,-0.0224,-2,25,40,63,"18.36",NA,"Northwest"
"2074","43-5051","Postal Service Clerks","316",287,-29,-0.0918,-3,14,11,22,"24.64",NA,"Northwest"
"2075","43-5052","Postal Service Mail Carriers","1441",1308,-133,-0.0923,-13,48,49,84,"25.21",NA,"Northwest"
"2076","43-5061","Production, Planning, and Expediting Clerks","2227",2329,102,0.0458,10,81,148,239,"23.45",NA,"Northwest"
"2077","43-5071","Shipping, Receiving, and Traffic Clerks","3455",3247,-208,-0.0602,-21,122,197,298,"17.600000000000001",NA,"Northwest"
"2078","43-5111","Weighers, Measurers, Checkers, and Samplers, Recordkeeping","191",202,11,0.0576,1,7,11,19,"17.079999999999998",NA,"Northwest"
"2079","43-6011","Executive Secretaries and Executive Administrative Assistants","933",732,-201,-0.2154,-20,42,46,68,"28.17",NA,"Northwest"
"2080","43-6012","Legal Secretaries","556",405,-151,-0.2716,-15,24,27,36,"18.2",NA,"Northwest"
"2081","43-6013","Medical Secretaries","3686",3747,61,0.0165,6,189,208,403,"16.82",NA,"Northwest"
"2082","43-6014","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","5535",4871,-664,-0.12,-66,265,290,489,"17.579999999999998",NA,"Northwest"
"2083","43-9021","Data Entry Keyers","354",264,-90,-0.2542,-9,14,20,25,"14.48",NA,"Northwest"
"2084","43-9041","Insurance Claims and Policy Processing Clerks","367",352,-15,-0.0409,-2,13,21,32,"18.55",NA,"Northwest"
"2085","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service","141",135,-6,-0.0426,-1,7,9,15,"13.37",NA,"Northwest"
"2086","43-9061","Office Clerks, General","11115",10529,-586,-0.0527,-59,591,642,1174,"17.57",NA,"Northwest"
"2087","43-9199","Office and Administrative Support Workers, All Other","214",218,4,0.0187,0,9,15,24,"17.62",NA,"Northwest"
"2088","45-0000","Farming, Fishing, and Forestry Occupations","2529",2623,94,0.0372,9,108,292,409,"16.93",NA,"Northwest"
"2089","45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","133",141,8,0.0602,1,5,14,20,"28.41",NA,"Northwest"
"2090","45-2091","Agricultural Equipment Operators","303",330,27,0.0891,3,13,36,52,"21.91",NA,"Northwest"
"2091","47-0000","Construction and Extraction Occupations","23040",23990,950,0.0412,95,693,1611,2399,"23.4",NA,"Northwest"
"2092","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","1642",1718,76,0.0463,8,48,109,165,"29.98",NA,"Northwest"
"2093","47-2021","Brickmasons and Blockmasons","369",350,-19,-0.0515,-2,11,22,31,"28.89",NA,"Northwest"
"2094","47-2031","Carpenters","2613",2613,0,0,0,76,163,239,"23.55",NA,"Northwest"
"2095","47-2041","Carpet Installers","209",198,-11,-0.0526,-1,5,12,16,"22.4",NA,"Northwest"
"2096","47-2051","Cement Masons and Concrete Finishers","579",561,-18,-0.0311,-2,14,38,50,"23.8",NA,"Northwest"
"2097","47-2061","Construction Laborers","4315",4613,298,0.0691,30,132,302,464,"22.02",NA,"Northwest"
"2098","47-2071","Paving, Surfacing, and Tamping Equipment Operators","245",250,5,0.0204,0,8,18,26,"23.09",NA,"Northwest"
"2099","47-2073","Operating Engineers and Other Construction Equipment Operators","1680",1715,35,0.0208,4,56,122,182,"27.02",NA,"Northwest"
"2100","47-2081","Drywall and Ceiling Tile Installers","111",115,4,0.036,0,3,6,9,"23.8",NA,"Northwest"
"2101","47-2111","Electricians","3649",3966,317,0.0869,32,110,280,422,"29.5",NA,"Northwest"
"2102","47-2121","Glaziers","158",168,10,0.0633,1,4,13,18,"22.47",NA,"Northwest"
"2103","47-2132","Insulation Workers, Mechanical","128",135,7,0.0547,1,3,9,13,"28.55",NA,"Northwest"
"2104","47-2141","Painters, Construction and Maintenance","1059",1102,43,0.0406,4,33,60,97,"22.03",NA,"Northwest"
"2105","47-2151","Pipelayers","220",216,-4,-0.0182,0,6,16,22,"22.26",NA,"Northwest"
"2106","47-2152","Plumbers, Pipefitters, and Steamfitters","1323",1367,44,0.0333,4,39,97,140,"29.63",NA,"Northwest"
"2107","47-2181","Roofers","580",613,33,0.0569,3,15,42,60,"22.09",NA,"Northwest"
"2108","47-2211","Sheet Metal Workers","355",380,25,0.0704,2,10,24,36,"23.09",NA,"Northwest"
"2109","47-2221","Structural Iron and Steel Workers","726",773,47,0.0647,5,19,57,81,"29.09",NA,"Northwest"
"2110","47-4011","Construction and Building Inspectors","174",159,-15,-0.0862,-2,9,10,17,"29.17",NA,"Northwest"
"2111","47-4031","Fence Erectors","123",117,-6,-0.0488,-1,3,9,11,"17.64",NA,"Northwest"
"2112","47-4041","Hazardous Materials Removal Workers","192",198,6,0.0312,1,7,16,24,"22.08",NA,"Northwest"
"2113","47-4051","Highway Maintenance Workers","799",810,11,0.0138,1,32,50,83,"18.36",NA,"Northwest"
"2114","47-4071","Septic Tank Servicers and Sewer Pipe Cleaners","156",166,10,0.0641,1,5,13,19,"22.58",NA,"Northwest"
"2115","49-0000","Installation, Maintenance, and Repair Occupations","26189",27904,1715,0.0655,172,856,1691,2719,"22.81",NA,"Northwest"
"2116","49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers","1934",2030,96,0.0496,10,58,118,186,"35.1",NA,"Northwest"
"2117","49-2011","Computer, Automated Teller, and Office Machine Repairers","220",204,-16,-0.0727,-2,6,16,20,"18.21",NA,"Northwest"
"2118","49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers","516",537,21,0.0407,2,18,40,60,"29.2",NA,"Northwest"
"2119","49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment","145",163,18,0.1241,2,4,8,14,"31.77",NA,"Northwest"
"2120","49-2098","Security and Fire Alarm Systems Installers","214",210,-4,-0.0187,0,5,16,21,"22.65",NA,"Northwest"
"2121","49-3011","Aircraft Mechanics and Service Technicians","171",181,10,0.0585,1,5,9,15,"28.2",NA,"Northwest"
"2122","49-3021","Automotive Body and Related Repairers","1032",1065,33,0.032,3,33,62,98,"22.42",NA,"Northwest"
"2123","49-3023","Automotive Service Technicians and Mechanics","3221",3208,-13,-0.004,-1,96,218,313,"18.18",NA,"Northwest"
"2124","49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","1056",1096,40,0.0379,4,30,67,101,"22.58",NA,"Northwest"
"2125","49-3041","Farm Equipment Mechanics and Service Technicians","217",234,17,0.0783,2,7,15,24,"18.100000000000001",NA,"Northwest"
"2126","49-3042","Mobile Heavy Equipment Mechanics, Except Engines","498",543,45,0.0904,4,16,35,55,"25",NA,"Northwest"
"2127","49-3093","Tire Repairers and Changers","259",264,5,0.0193,0,8,22,30,"14.29",NA,"Northwest"
"2128","49-9011","Mechanical Door Repairers","105",115,10,0.0952,1,2,6,9,"21.63",NA,"Northwest"
"2129","49-9012","Control and Valve Installers and Repairers, Except Mechanical Door","141",137,-4,-0.0284,0,3,8,11,"29.42",NA,"Northwest"
"2130","49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","1217",1258,41,0.0337,4,32,84,120,"22.93",NA,"Northwest"
"2131","49-9041","Industrial Machinery Mechanics","2610",3345,735,0.2816,74,92,161,327,"28.9",NA,"Northwest"
"2132","49-9043","Maintenance Workers, Machinery","371",430,59,0.159,6,13,22,41,"28.55",NA,"Northwest"
"2133","49-9044","Millwrights","681",783,102,0.1498,10,21,42,73,"37.22",NA,"Northwest"
"2134","49-9051","Electrical Power-Line Installers and Repairers","464",490,26,0.056,3,9,32,44,"37.42",NA,"Northwest"
"2135","49-9071","Maintenance and Repair Workers, General","6935",7208,273,0.0394,27,249,413,689,"22.4",NA,"Northwest"
"2136","49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers","165",170,5,0.0303,0,7,12,19,"17.71",NA,"Northwest"
"2137","49-9098","Helpers--Installation, Maintenance, and Repair Workers","192",200,8,0.0417,1,8,16,25,"17.41",NA,"Northwest"
"2138","49-9099","Installation, Maintenance, and Repair Workers, All Other","1476",1701,225,0.1524,22,56,106,184,"17.96",NA,"Northwest"
"2139","51-0000","Production Occupations","76175",75878,-297,-0.0039,-30,2751,5392,8113,"18.13",NA,"Northwest"
"2140","51-1011","First-Line Supervisors of Production and Operating Workers","4402",4570,168,0.0382,17,135,302,454,"29.35",NA,"Northwest"
"2141","51-2028","Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","1202",1356,154,0.1281,15,51,82,148,"17.48",NA,"Northwest"
"2142","51-2041","Structural Metal Fabricators and Fitters","359",322,-37,-0.1031,-4,8,27,31,"21.18",NA,"Northwest"
"2143","51-2090","Miscellaneous Assemblers and Fabricators","19576",19482,-94,-0.0048,-9,745,1394,2130,"18.13",NA,"Northwest"
"2144","51-3011","Bakers","505",524,19,0.0376,2,29,38,69,"14.14",NA,"Northwest"
"2145","51-3021","Butchers and Meat Cutters","270",242,-28,-0.1037,-3,10,19,26,"14.16",NA,"Northwest"
"2146","51-3092","Food Batchmakers","1790",1768,-22,-0.0123,-2,83,133,214,"22.1",NA,"Northwest"
"2147","51-4021","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","783",726,-57,-0.0728,-6,26,47,67,"18.05",NA,"Northwest"
"2148","51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","2665",2608,-57,-0.0214,-6,84,181,259,"18.09",NA,"Northwest"
"2149","51-4033","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","622",586,-36,-0.0579,-4,27,42,65,"17.48",NA,"Northwest"
"2150","51-4041","Machinists","3027",3253,226,0.0747,23,105,214,342,"19.28",NA,"Northwest"
"2151","51-4071","Foundry Mold and Coremakers","861",836,-25,-0.029,-2,28,57,83,"18.03",NA,"Northwest"
"2152","51-4072","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","2781",2573,-208,-0.0748,-21,87,181,247,"17.45",NA,"Northwest"
"2153","51-4081","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","2910",3289,379,0.1302,38,101,210,349,"22.59",NA,"Northwest"
"2154","51-4111","Tool and Die Makers","1143",1159,16,0.014,2,42,72,116,"27.27",NA,"Northwest"
"2155","51-4121","Welders, Cutters, Solderers, and Brazers","3078",3308,230,0.0747,23,84,252,359,"18.600000000000001",NA,"Northwest"
"2156","51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","182",182,0,0,0,5,14,19,"17.920000000000002",NA,"Northwest"
"2157","51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","135",130,-5,-0.037,0,4,9,13,"18.350000000000001",NA,"Northwest"
"2158","51-4193","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","450",401,-49,-0.1089,-5,14,29,38,"17.899999999999999",NA,"Northwest"
"2159","51-5111","Prepress Technicians and Workers","101",83,-18,-0.1782,-2,4,9,11,"18.09",NA,"Northwest"
"2160","51-5112","Printing Press Operators","635",573,-62,-0.0976,-6,22,42,58,"17.78",NA,"Northwest"
"2161","51-5113","Print Binding and Finishing Workers","150",110,-40,-0.2667,-4,6,8,10,"14.56",NA,"Northwest"
"2162","51-6011","Laundry and Dry-Cleaning Workers","840",913,73,0.0869,7,57,59,123,"11.29",NA,"Northwest"
"2163","51-6031","Sewing Machine Operators","322",311,-11,-0.0342,-1,19,17,35,"14.14",NA,"Northwest"
"2164","51-7041","Sawing Machine Setters, Operators, and Tenders, Wood","103",112,9,0.0874,1,4,8,13,"14.43",NA,"Northwest"
"2165","51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","337",366,29,0.0861,3,10,25,38,"17.420000000000002",NA,"Northwest"
"2166","51-8031","Water and Wastewater Treatment Plant and System Operators","602",560,-42,-0.0698,-4,16,36,48,"22.99",NA,"Northwest"
"2167","51-9011","Chemical Equipment Operators and Tenders","400",369,-31,-0.0775,-3,8,30,35,"23.13",NA,"Northwest"
"2168","51-9023","Mixing and Blending Machine Setters, Operators, and Tenders","958",969,11,0.0115,1,32,72,105,"18.09",NA,"Northwest"
"2169","51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders","285",280,-5,-0.0175,0,13,21,34,"18.09",NA,"Northwest"
"2170","51-9041","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","1065",1029,-36,-0.0338,-4,29,77,102,"17.79",NA,"Northwest"
"2171","51-9051","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","323",330,7,0.0217,1,11,20,32,"22.95",NA,"Northwest"
"2172","51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers","4736",4111,-625,-0.132,-62,170,351,459,"18.27",NA,"Northwest"
"2173","51-9111","Packaging and Filling Machine Operators and Tenders","2360",2413,53,0.0225,5,98,158,261,"18.13",NA,"Northwest"
"2174","51-9124","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","979",1009,30,0.0306,3,28,71,102,"18.09",NA,"Northwest"
